"Compound";"Code";"site";"Rainfallevent";"conc_water"
"428";"Cyproconazol";"CH49";"E";"Sampling_3";0.00107121925347863
"429";"Cyproconazol";"CH72";"F";"Sampling_4";0.000339007630523599
"430";"Cyproconazol";"CH71";"E";"Sampling_4";0.00104271130300458
"431";"Cyproconazol";"CH37";"O";"Sampling_2";0.3116047214064
"432";"Cyproconazol";"CH84";"O";"Sampling_4";0.0450133071275869
"433";"Cyproconazol";"CH50";"F";"Sampling_3";0.000806290439035573
"434";"Cyproconazol";"CH51";"G";"Sampling_3";8.96915083231095e-05
"435";"Cyproconazol";"CH85";"P";"Sampling_4";0.00319751477718754
"436";"Cyproconazol";"CH41";"S";"Sampling_2";0.000700189313236966
"437";"Cyproconazol";"CH61";"P";"Sampling_3";0.014364641711641
"438";"Cyproconazol";"CH42";"T";"Sampling_2";0.00166351168833536
"439";"Cyprodinil";"CH88";"R";"Sampling_4";0.000141149366690893
"440";"Cyprodinil";"CH58";"M";"Sampling_3";0.000291428354652802
"441";"Diazinon";"CH38";"P";"Sampling_2";0.0197087777599346
"442";"Diazinon";"CH66";"T";"Sampling_3";0.0660777597269574
"443";"Diazinon";"CH37";"O";"Sampling_2";0.000304223955023035
"444";"Diazinon";"CH74";"G";"Sampling_4";0.0126220167060608
"445";"Diazinon";"CH63";"R";"Sampling_3";0.000153692949322245
"446";"Diazinon";"CH41";"S";"Sampling_2";0.0258203082854456
"447";"Diazinon";"CH87";"Q";"Sampling_4";0.0136009878207648
"448";"Diazinon";"CH77";"I";"Sampling_4";0.00743073716085669
"449";"Diazinon";"CH61";"P";"Sampling_3";0.0413200269904154
"450";"Diazinon";"CH90";"S";"Sampling_4";0.0253006392070512
"451";"Diazinon";"CH47";"D";"Sampling_3";0.0119203969000318
"452";"Diazinon";"CH32";"I";"Sampling_2";0.00202808826731666
"453";"Diazinon";"CH50";"F";"Sampling_3";0.0121358827227776
"454";"Diazinon";"RO17";"Q";"Sampling_1";0.01538622912885
"455";"Diazinon";"CH46";"C";"Sampling_3";0.000720418125098874
"456";"Diazinon";"CH72";"F";"Sampling_4";0.00290846733233851
"457";"Diazinon";"CH60";"N";"Sampling_3";0.00748591505521124
"458";"Diazinon";"CH85";"P";"Sampling_4";0.0234767816159197
"459";"Diazinon";"CH30";"H";"Sampling_2";0.00438534047837601
"460";"Diazinon";"CH62";"Q";"Sampling_3";0.006461535558927
"461";"Diazinon";"CH65";"S";"Sampling_3";0.0414367733997488
"462";"Diazinon";"CH70";"D";"Sampling_4";0.0451996996312854
"463";"Diazinon";"CH22";"B";"Sampling_2";0.000779651711517798
"464";"Diazinon";"CH36";"N";"Sampling_2";0.00398449102017701
"465";"Diazinon";"CH33";"K";"Sampling_2";0.00545710309412798
"466";"Diazinon";"CH34";"L";"Sampling_2";0.00274392032203206
"467";"Diazinon";"RO9";"H";"Sampling_1";0.00541497166358503
"468";"Diazinon";"RO4";"D";"Sampling_1";0.00500841886974124
"469";"Diazinon";"CH71";"E";"Sampling_4";0.00837033173115748
"470";"Diazinon";"CH82";"M";"Sampling_4";0.00679812258099779
"471";"Diazinon";"CH28";"F";"Sampling_2";0.00114204204862352
"472";"Diazinon";"CH25";"D";"Sampling_2";0.0105961906485855
"473";"Diazinon";"CH56";"K";"Sampling_3";0.0168163488171568
"474";"Diazinon";"CH53";"H";"Sampling_3";0.00401882932649829
"475";"Diazinon";"CH57";"L";"Sampling_3";0.000525560440409871
"476";"Diazinon";"RO16";"P";"Sampling_1";0.0257562644003883
"477";"Diazinon";"CH68";"B";"Sampling_4";0.00293667230074004
"478";"Diazinon";"CH84";"O";"Sampling_4";0.000255667137326309
"479";"Diazinon";"CH69";"C";"Sampling_4";0.000252215008442143
"480";"Diazinon";"RO7";"F";"Sampling_1";0.00488018081630077
"481";"Diazinon";"CH83";"N";"Sampling_4";0.00313091568676383
"482";"Diazinon";"CH49";"E";"Sampling_3";0.0209604973364093
"483";"Diazinon";"CH43";"A";"Sampling_3";0.00585829992129456
"484";"Diazinon";"CH39";"Q";"Sampling_2";0.0319369614934704
"485";"Diazinon";"CH76";"H";"Sampling_4";0.0223400021352094
"486";"Diazinon";"CH23";"C";"Sampling_2";0.000507850328470043
"487";"Diazinon";"CH93";"T";"Sampling_4";0.0118121104208128
"488";"Diazinon";"CH27";"E";"Sampling_2";0.0200078050621583
"489";"Diazinon";"RO11";"K";"Sampling_1";0.00730042409271396
