"Compound";"Code";"site";"Rainfallevent";"conc_water"
"406";"Clothianidin";"CH28";"F";"2";0.000995207241013448
"407";"Clothianidin";"CH38";"P";"2";0.0017725251365901
"408";"Clothianidin";"CH72";"F";"B";0.00178972643169871
"409";"Clothianidin";"CH61";"P";"3";0.00577793516864305
"422";"Cyproconazol";"CH29";"G";"2";0.000174493863240509
"423";"Cyproconazol";"CH40";"R";"2";8.54251914722814e-06
"424";"Cyproconazol";"CH39";"Q";"2";0.000482237586703107
"425";"Cyproconazol";"CH32";"I";"2";0.000252643578255686
"426";"Cyproconazol";"CH74";"G";"B";0.0285120081664591
"427";"Cyproconazol";"CH38";"P";"2";0.00486836606544739
"428";"Cyproconazol";"CH49";"E";"3";0.00107121925355126
"429";"Cyproconazol";"CH72";"F";"B";0.000339007630555961
"430";"Cyproconazol";"CH71";"E";"B";0.00104271130288166
"431";"Cyproconazol";"CH37";"O";"2";0.311604721405245
"432";"Cyproconazol";"CH84";"O";"B";0.045013307132768
"433";"Cyproconazol";"CH50";"F";"3";0.000806290439063319
"434";"Cyproconazol";"CH51";"G";"3";8.96915083371264e-05
"435";"Cyproconazol";"CH85";"P";"B";0.00319751477692477
"436";"Cyproconazol";"CH41";"S";"2";0.000700189313337401
"437";"Cyproconazol";"CH61";"P";"3";0.0143646417138939
"438";"Cyproconazol";"CH42";"T";"2";0.00166351168840201
"439";"Cyprodinil";"CH88";"R";"B";0.000141149366680824
"440";"Cyprodinil";"CH58";"M";"3";0.000291428354703466
"441";"Diazinon";"CH38";"P";"2";0.0197087777571864
"442";"Diazinon";"CH66";"T";"3";0.0660777597347632
"443";"Diazinon";"CH37";"O";"2";0.000304223955021907
"444";"Diazinon";"CH74";"G";"B";0.0126220167056933
"445";"Diazinon";"CH63";"R";"3";0.000153692949319958
"446";"Diazinon";"CH41";"S";"2";0.0258203082891492
"447";"Diazinon";"CH87";"Q";"B";0.0136009878228536
"448";"Diazinon";"CH77";"I";"B";0.00743073716119708
"449";"Diazinon";"CH61";"P";"3";0.041320026996896
"450";"Diazinon";"CH90";"S";"B";0.0253006392035927
"451";"Diazinon";"CH47";"D";"3";0.0119203969000447
"452";"Diazinon";"CH32";"I";"2";0.00202808826724443
